Year,club_name,overall,value_eur,age
2015,Reading,72,2400000.0,25
2015,Cardiff City,72,2800000.0,26
2015,Bournemouth,72,2700000.0,24
2015,Watford,72,3000000.0,25
2015,Burnley,72,2100000.0,23
2015,Tottenham Hotspur,72,2400000.0,25
2015,Hull City,72,2700000.0,23
2015,Aston Villa,72,2200000.0,24
2015,Watford,72,2400000.0,25
2015,Cardiff City,72,2100000.0,23
2015,Cardiff City,72,2800000.0,26
2015,West Bromwich Albion,72,3100000.0,26
2015,Hull City,72,2500000.0,26
2015,Sunderland,72,2400000.0,21
2015,Stoke City,72,1800000.0,22
2015,Crystal Palace,72,2100000.0,21
2015,Hull City,72,2100000.0,22
2015,Stoke City,72,1900000.0,21
2015,Newcastle United,72,2700000.0,23
2015,Fulham,71,275000.0,38
2015,Burnley,71,1300000.0,32
2015,Queens Park Rangers,71,250000.0,35
2015,West Ham United,71,1500000.0,30
2015,Wolverhampton Wanderers,71,1000000.0,31
2015,Queens Park Rangers,71,1100000.0,33
2015,Norwich City,71,1300000.0,29
2015,Stoke City,71,275000.0,38
2015,Watford,71,625000.0,33
2015,Manchester City,71,1100000.0,30
2015,Chelsea,71,625000.0,35
2015,West Bromwich Albion,71,850000.0,32
2015,Manchester City,71,1600000.0,29
2015,Aston Villa,71,1300000.0,29
2015,Manchester City,71,475000.0,34
2015,Ipswich Town,71,1300000.0,29
2015,Wigan Athletic,71,1900000.0,27
2015,Derby County,71,1500000.0,27
2015,Stoke City,71,1300000.0,29
2015,Liverpool,71,1300000.0,32
2015,Norwich City,71,2000000.0,26
2015,Queens Park Rangers,71,1700000.0,24
2015,Reading,71,1700000.0,27
2015,Birmingham City,71,1500000.0,27
2015,Wolverhampton Wanderers,71,2000000.0,26
2015,Crystal Palace,71,1800000.0,26
2015,Cardiff City,71,1900000.0,27
2015,Hull City,71,1900000.0,25
2015,Middlesbrough,71,1500000.0,25
2015,Brighton & Hove Albion,71,1500000.0,26
2015,Watford,71,2000000.0,26
2015,Manchester City,71,1700000.0,24
2015,Wolverhampton Wanderers,71,1700000.0,25
2015,Leeds United,71,1500000.0,24
2015,Hull City,71,2000000.0,26
2015,Hull City,71,1500000.0,25
2015,Sunderland,71,1300000.0,23
2015,Ipswich Town,71,1500000.0,24
2015,Norwich City,71,1700000.0,25
2015,Wigan Athletic,71,1700000.0,27
2015,Middlesbrough,71,1800000.0,26
2015,West Ham United,71,1400000.0,24
2015,Sunderland,71,1900000.0,24
2015,Queens Park Rangers,71,1500000.0,23
2015,Leeds United,71,1600000.0,29
2015,Reading,71,1700000.0,27
2015,Charlton Athletic,71,1500000.0,23
2015,Aston Villa,71,1300000.0,23
2015,Wigan Athletic,71,1700000.0,23
2015,Southampton,71,1500000.0,25
2015,Middlesbrough,71,1900000.0,24
2015,Burnley,71,1500000.0,21
2015,Southampton,71,1700000.0,23
2015,Sunderland,71,1300000.0,23
2015,Reading,71,1700000.0,25
2015,West Bromwich Albion,71,1500000.0,24
2015,Cardiff City,71,1900000.0,24
2015,Everton,71,1100000.0,21
2015,West Ham United,71,1100000.0,22
2015,Chelsea,71,1200000.0,21
2015,Cardiff City,71,1200000.0,19
2015,Hull City,71,1300000.0,22
2015,Liverpool,71,1100000.0,21
2015,Tottenham Hotspur,71,1500000.0,20
2015,Crystal Palace,71,1700000.0,23
2015,Arsenal,71,1000000.0,19
2015,West Ham United,70,700000.0,33
2015,Queens Park Rangers,70,1100000.0,32
2015,Wigan Athletic,70,475000.0,34
2015,Blackburn Rovers,70,1100000.0,34
2015,Middlesbrough,70,1100000.0,32
2015,Wigan Athletic,70,925000.0,32
2015,Reading,70,1300000.0,29
2015,Burnley,70,1100000.0,32
2015,Queens Park Rangers,70,950000.0,31
2015,Wolverhampton Wanderers,70,1500000.0,30
2015,Norwich City,70,1100000.0,30
2015,Stoke City,70,1300000.0,30
2015,Sunderland,70,1500000.0,27
2015,Norwich City,70,1000000.0,31
2015,Crystal Palace,70,1500000.0,30
2015,Wolverhampton Wanderers,70,925000.0,32
2015,Southampton,70,500000.0,37
2015,Cardiff City,70,1500000.0,23
2015,Wolverhampton Wanderers,70,1600000.0,26
2015,Wolverhampton Wanderers,70,1600000.0,28
2015,Burnley,70,1500000.0,29
2015,Wigan Athletic,70,1400000.0,28
2015,Huddersfield Town,70,1900000.0,25
2015,Brentford,70,1300000.0,28
2015,Fulham,70,1300000.0,29
2015,Burnley,70,1400000.0,28
2015,Middlesbrough,70,1700000.0,24
2015,West Ham United,70,1400000.0,28
2015,Watford,70,1800000.0,26
2015,Chelsea,70,1100000.0,30
2015,Swansea City,70,1400000.0,28
2015,Reading,70,1500000.0,30
2015,Crystal Palace,70,1500000.0,27
2015,Burnley,70,1900000.0,25
2015,Ipswich Town,70,2000000.0,26
2015,Brighton & Hove Albion,70,1500000.0,23
2015,Wolverhampton Wanderers,70,1700000.0,25
2015,Aston Villa,70,1500000.0,25
2015,Norwich City,70,1500000.0,24
2015,Reading,70,1500000.0,25
2015,Wolverhampton Wanderers,70,1600000.0,26
2015,Derby County,70,1900000.0,25
2015,Derby County,70,1700000.0,24
2015,Queens Park Rangers,70,1300000.0,22
2015,Manchester City,70,1700000.0,24
2015,Watford,70,1500000.0,25
2015,Arsenal,70,1500000.0,23
2015,West Ham United,70,1500000.0,24
2015,Charlton Athletic,70,1500000.0,23
2015,West Ham United,70,1900000.0,24
2015,Newcastle United,70,1700000.0,24
2015,Wigan Athletic,70,1500000.0,22
2015,Everton,70,1500000.0,24
2015,Crystal Palace,70,1500000.0,20
2015,Derby County,70,1300000.0,22
2015,Newcastle United,70,1100000.0,21
2015,Manchester City,70,1300000.0,22
2015,Leeds United,70,1400000.0,19
2015,Arsenal,70,1200000.0,18
2015,Derby County,70,1200000.0,19
2015,Leeds United,70,1100000.0,20
2015,Liverpool,70,1100000.0,20
2015,Wolverhampton Wanderers,70,1500000.0,26
2015,Tottenham Hotspur,70,1200000.0,19
2015,Wigan Athletic,69,650000.0,33
2015,Burnley,69,425000.0,33
2015,Bournemouth,69,1000000.0,29
2015,Huddersfield Town,69,575000.0,32
2015,West Bromwich Albion,69,1000000.0,29
2015,Blackburn Rovers,69,900000.0,29
2015,Charlton Athletic,69,575000.0,32
2015,Watford,69,900000.0,29
2015,Middlesbrough,69,575000.0,35
2015,West Ham United,69,1000000.0,27
2015,Charlton Athletic,69,1000000.0,26
2015,Blackpool,69,900000.0,29
2015,Crystal Palace,69,750000.0,31
2015,Wigan Athletic,69,800000.0,32
2015,Wigan Athletic,69,950000.0,28
2015,Norwich City,69,1000000.0,29
2015,Burnley,69,1000000.0,29
2015,Leeds United,69,1100000.0,28
2015,Sunderland,69,1100000.0,28
2015,Reading,69,1100000.0,27
2015,Wigan Athletic,69,825000.0,28
2015,Wolverhampton Wanderers,69,1000000.0,27
2015,Wolverhampton Wanderers,69,900000.0,27
2015,Cardiff City,69,975000.0,26
2015,Cardiff City,69,950000.0,25
2015,Derby County,69,950000.0,25
2015,Watford,69,1200000.0,25
2015,Sunderland,69,900000.0,29
2015,Norwich City,69,1200000.0,26
2015,Reading,69,900000.0,24
2015,Wolverhampton Wanderers,69,1100000.0,25
2015,Manchester City,69,950000.0,25
2015,Swansea City,69,1200000.0,26
2015,Burnley,69,1100000.0,24
2015,Wolverhampton Wanderers,69,925000.0,30
2015,Coventry City,69,975000.0,26
2015,Wigan Athletic,69,900000.0,24
2015,Cardiff City,69,925000.0,22
2015,Middlesbrough,69,1100000.0,25
2015,Bournemouth,69,1000000.0,24
2015,Burnley,69,1100000.0,24
2015,Blackburn Rovers,69,825000.0,23
2015,Burnley,69,900000.0,24
2015,Chelsea,69,1100000.0,24
2015,Derby County,69,1100000.0,25
2015,Cardiff City,69,975000.0,26
2015,Leeds United,69,825000.0,23
2015,Manchester City,69,925000.0,22
2015,Fulham,69,800000.0,23
2015,Cardiff City,69,1100000.0,25
2015,Blackburn Rovers,69,925000.0,23
2015,Arsenal,69,925000.0,21
2015,Everton,69,900000.0,24
2015,Manchester City,69,700000.0,21
2015,Sunderland,69,825000.0,20
2015,Manchester City,69,925000.0,20
2015,West Bromwich Albion,69,700000.0,21
2015,Fulham,69,700000.0,20
2015,Swansea City,69,825000.0,22
2015,Manchester City,69,925000.0,23
2015,Middlesbrough,69,700000.0,20
2015,Manchester City,69,1100000.0,27
2015,Hull City,69,700000.0,20
2015,Cardiff City,68,300000.0,34
2015,Wolverhampton Wanderers,68,625000.0,31
2015,Hull City,68,170000.0,39
2015,Manchester City,68,425000.0,33
2015,Brighton & Hove Albion,68,425000.0,33
2015,Leeds United,68,575000.0,32
2015,Chelsea,68,850000.0,31
2015,Watford,68,700000.0,30
2015,Blackburn Rovers,68,700000.0,30
2015,Chelsea,68,800000.0,32
